id,id2,label,HC01_EST_VC01,HC02_EST_VC01,HC01_EST_VC03,HC02_EST_VC03,HC01_EST_VC04,HC02_EST_VC04,HC01_EST_VC05
400C100US11728,11728,"Burlington, NC Urbanized Area (2010)",31205,12358,20808,7579,49.9,73.8,20.8
400C100US11755,11755,"Burlington, VT Urbanized Area (2010)",22653,9844,17441,6081,63.6,72.4,15.2
400C100US12754,12754,"Camarillo, CA Urbanized Area (2010)",17787,7104,13971,6042,55.1,68.8,19.4
400C100US13375,13375,"Canton, OH Urbanized Area (2010)",72303,28777,52712,17822,52.6,73.3,19.9
400C100US13510,13510,"Cape Coral, FL Urbanized Area (2010)",143144,49139,104211,27429,36.5,64.2,19.6
400C100US13591,13591,"Carbondale, IL Urbanized Area (2010)",15121,6404,10814,4120,52.4,75,17.3
400C100US14482,14482,"Casper, WY Urbanized Area (2010)",17738,7858,12751,5317,68.8,73.6,17.7
400C100US14752,14752,"Cedar Rapids, IA Urbanized Area (2010)",47149,22846,35461,15611,63.3,78.4,16
400C100US15211,15211,"Champaign, IL Urbanized Area (2010)",27488,12402,20282,8053,57.9,60.2,21.9
400C100US15481,15481,"Charleston, WV Urbanized Area (2010)",38937,15004,25877,7591,49.8,71.6,15
400C100US15508,15508,"Charleston--North Charleston, SC Urbanized Area (2010)",145470,61203,103292,38659,55.2,69.2,22.3
400C100US15670,15670,"Charlotte, NC--SC Urbanized Area (2010)",335675,170299,240741,114784,57.4,64.6,24.8
400C100US15724,15724,"Charlottesville, VA Urbanized Area (2010)",19445,9427,13587,5964,58.2,65.3,16.8
400C100US15832,15832,"Chattanooga, TN--GA Urbanized Area (2010)",96744,38951,67545,25458,49.6,68.9,21.7
400C100US16237,16237,"Cheyenne, WY Urbanized Area (2010)",18522,8091,13544,5921,60.7,75.8,16.2
400C100US16264,16264,"Chicago, IL--IN Urbanized Area (2010)",2043888,922691,1455018,635846,54.9,64.9,23.8
400C100US16318,16318,"Chico, CA Urbanized Area (2010)",20072,9194,14913,6328,47.4,54.8,28.5
400C100US16885,16885,"Cincinnati, OH--KY--IN Urbanized Area (2010)",403507,181342,291207,118789,57,71.2,20.2
400C100US17317,17317,"Clarksville, TN--KY Urbanized Area (2010)",42868,23832,31347,16634,46,49.8,33
400C100US17668,17668,"Cleveland, OH Urbanized Area (2010)",437431,181279,296715,107016,54.5,70.6,19.5
400C100US17722,17722,"Cleveland, TN Urbanized Area (2010)",16095,7235,12220,5147,43.7,57.8,27.1
400C100US18451,18451,"Coeur d'Alene, ID Urbanized Area (2010)",26148,11311,20183,7302,50,61.4,22.4
400C100US18748,18748,"College Station--Bryan, TX Urbanized Area (2010)",34363,17990,24000,11629,57.2,64.9,24.4
400C100US18856,18856,"Colorado Springs, CO Urbanized Area (2010)",149965,72354,111611,48682,47.3,54,30.2
400C100US18937,18937,"Columbia, MO Urbanized Area (2010)",28923,13564,21180,8894,60.8,79.6,17.1
400C100US18964,18964,"Columbia, SC Urbanized Area (2010)",130439,56277,88583,35084,55.6,71.6,21.1
400C100US19099,19099,"Columbus, GA--AL Urbanized Area (2010)",64398,31091,38471,17283,50.8,58.7,27.2
400C100US19234,19234,"Columbus, OH Urbanized Area (2010)",348998,173023,243680,110450,61.2,73.2,19.8
400C100US19504,19504,"Concord, CA Urbanized Area (2010)",170597,80763,142226,68053,50.8,57.7,28.3
400C100US19558,19558,"Concord, NC Urbanized Area (2010)",58206,26375,40707,15535,52.7,67.2,20.5
400C100US19755,19755,"Conroe--The Woodlands, TX Urbanized Area (2010)",68914,36846,55464,27220,51.9,57.1,34.7
400C100US19801,19801,"Conway, AR Urbanized Area (2010)",15460,6970,10500,4154,56.8,66.5,21.8
400C100US20287,20287,"Corpus Christi, TX Urbanized Area (2010)",83525,37736,55856,24626,51.4,61.5,25.9
400C100US22042,22042,"Dallas--Fort Worth--Arlington, TX Urbanized Area (2010)",1327894,673179,939492,451630,53.9,59.2,28.9
400C100US22069,22069,"Dalton, GA Urbanized Area (2010)",21993,11004,16774,7767,48.3,65,26.9
400C100US22096,22096,"Danbury, CT--NY Urbanized Area (2010)",42398,19336,31770,14162,58.6,72,21.5
400C100US22285,22285,"Daphne--Fairhope, AL Urbanized Area (2010)",15564,6193,12844,5044,53.9,66.2,16.5
400C100US22366,22366,"Davenport, IA--IL Urbanized Area (2010)",68347,31424,49506,18917,53.7,72.6,19.4
400C100US22420,22420,"Davis, CA Urbanized Area (2010)",12479,5687,10167,4299,55.8,67.2,19.7
400C100US22528,22528,"Dayton, OH Urbanized Area (2010)",181393,80401,123571,45842,51.7,66,21
400C100US22690,22690,"Decatur, AL Urbanized Area (2010)",17273,8638,11432,4683,44.4,60,27.2
400C100US22717,22717,"Decatur, IL Urbanized Area (2010)",22126,8957,16089,5182,55.6,77.6,14.9
400C100US22960,22960,"DeKalb, IL Urbanized Area (2010)",14005,5980,10112,3903,61.8,75.4,15.7
400C100US23311,23311,"Deltona, FL Urbanized Area (2010)",44636,17478,30381,9434,43.9,65.3,20.1
400C100US23500,23500,"Denton--Lewisville, TX Urbanized Area (2010)",97387,49366,76059,37722,61.5,67.5,24.6
400C100US23527,23527,"Denver--Aurora, CO Urbanized Area (2010)",612375,298366,455217,209727,57.4,66.5,23.2
400C100US23743,23743,"Des Moines, IA Urbanized Area (2010)",121678,60381,92772,42728,66,79.5,17.1
400C100US23824,23824,"Detroit, MI Urbanized Area (2010)",911777,395530,620691,252786,49.4,64.4,22.2
400C100US24472,24472,"Dothan, AL Urbanized Area (2010)",16813,7342,10822,4097,49.3,69.3,24.2
400C100US24580,24580,"Dover, DE Urbanized Area (2010)",28103,11122,20154,6967,56,74.7,13.1
400C100US24607,24607,"Dover--Rochester, NH--ME Urbanized Area (2010)",19107,9375,14124,6125,58.5,58.2,18.8
400C100US24823,24823,"Dubuque, IA--IL Urbanized Area (2010)",19158,8072,14864,5134,61.2,84.1,14.1
400C100US24850,24850,"Duluth, MN--WI Urbanized Area (2010)",27247,10860,20068,6649,55.1,70.1,16.3
400C100US25228,25228,"Durham, NC Urbanized Area (2010)",81856,38975,54086,22588,57.9,69.3,20.8
400C100US26038,26038,"Eau Claire, WI Urbanized Area (2010)",24277,10146,19120,7143,61.4,82.1,12.3
400C100US26416,26416,"El Centro--Calexico, CA Urbanized Area (2010)",21700,11813,14339,7800,44.8,56.9,35.2
400C100US26750,26750,"Elizabethtown--Radcliff, KY Urbanized Area (2010)",17611,8721,12381,6386,51.6,60.5,26.1
400C100US26794,26794,"Elkhart, IN--MI Urbanized Area (2010)",37264,18542,25917,11265,55.4,70.5,21.1
400C100US27118,27118,"Elmira, NY Urbanized Area (2010)",16106,6753,10898,3207,46,68.9,19.8
400C100US27253,27253,"El Paso, TX--NM Urbanized Area (2010)",186771,88178,121154,55082,43.8,51.8,31.4
400C100US27261,27261,"El Paso de Robles (Paso Robles)--Atascadero, CA Urbanized Area (2010)",16310,7073,12894,5529,53.4,58.6,23.2
400C100US27766,27766,"Erie, PA Urbanized Area (2010)",48958,21218,33022,12325,50.2,68,15.9
400C100US28117,28117,"Eugene, OR Urbanized Area (2010)",56345,24961,39443,15826,49,62.7,22.8
400C100US28333,28333,"Evansville, IN--KY Urbanized Area (2010)",57632,24608,41639,14748,52.8,73.1,19.7
400C100US28549,28549,"Fairbanks, AK Urbanized Area (2010)",14901,7886,11364,5537,56.8,58.8,25.6
400C100US28657,28657,"Fairfield, CA Urbanized Area (2010)",33693,15750,23358,10969,53.1,63,23.9
400C100US29089,29089,"Fargo, ND--MN Urbanized Area (2010)",43917,22045,33166,14932,67.9,83.3,13.5
400C100US29440,29440,"Fayetteville, NC Urbanized Area (2010)",76696,37195,51420,20924,42.6,46.6,32.8
400C100US29494,29494,"Fayetteville--Springdale--Rogers, AR--MO Urbanized Area (2010)",73869,38012,55942,27533,53.1,60.3,27
400C100US29818,29818,"Flagstaff, AZ Urbanized Area (2010)",15076,6038,11156,4163,57.2,71.5,16.9
400C100US29872,29872,"Flint, MI Urbanized Area (2010)",88805,38794,55097,20388,40.9,63.1,20.4
400C100US29953,29953,"Florence, AL Urbanized Area (2010)",19943,7276,12959,3837,41.2,63.1,22.9
400C100US30061,30061,"Florence, SC Urbanized Area (2010)",24409,9511,15674,5704,53.5,73.4,22.8
400C100US30628,30628,"Fort Collins, CO Urbanized Area (2010)",66386,30224,50518,20564,56.2,68.4,18
400C100US30925,30925,"Fort Smith, AR--OK Urbanized Area (2010)",30397,13558,21376,8771,50.2,63.8,25.7
400C100US31060,31060,"Fort Walton Beach--Navarre--Wright, FL Urbanized Area (2010)",52837,20763,39961,13816,48.1,57.5,24
400C100US31087,31087,"Fort Wayne, IN Urbanized Area (2010)",79299,37949,55682,22527,56,67.5,21.7
400C100US31519,31519,"Frederick, MD Urbanized Area (2010)",37500,18825,29057,14303,62.2,72.6,22.3
400C100US31600,31600,"Fredericksburg, VA Urbanized Area (2010)",37995,19301,28786,13982,57.8,67.6,25.4
400C100US31843,31843,"Fresno, CA Urbanized Area (2010)",152603,78392,92760,43168,49.3,58.2,26.6
400C100US32167,32167,"Gainesville, FL Urbanized Area (2010)",35844,14299,25674,9431,50.5,61.3,25.2
400C100US32194,32194,"Gainesville, GA Urbanized Area (2010)",33461,15563,24550,11328,48.9,54.9,25.9
400C100US32653,32653,"Gastonia, NC--SC Urbanized Area (2010)",39975,17036,27453,10087,48,66.7,25.7
400C100US33328,33328,"Gilroy--Morgan Hill, CA Urbanized Area (2010)",26914,13317,19911,9753,53.5,64.2,24.8
400C100US33598,33598,"Glens Falls, NY Urbanized Area (2010)",16623,6760,10549,3782,52.5,82.1,15.2
400C100US34219,34219,"Grand Forks, ND--MN Urbanized Area (2010)",14506,6768,10189,3893,59.4,74.4,21.4
400C100US34273,34273,"Grand Junction, CO Urbanized Area (2010)",30309,12832,22998,8211,53.2,73.2,15.7
400C100US34300,34300,"Grand Rapids, MI Urbanized Area (2010)",141686,65295,103583,44215,56.6,68.8,20.4
400C100US34759,34759,"Great Falls, MT Urbanized Area (2010)",16322,7303,11896,4624,55.1,77.2,18.4
400C100US34786,34786,"Greeley, CO Urbanized Area (2010)",29471,14540,20666,9947,55.4,65.4,23.4
400C100US34813,34813,"Green Bay, WI Urbanized Area (2010)",53417,26009,40214,16841,60.2,75.1,15.5
400C100US35164,35164,"Greensboro, NC Urbanized Area (2010)",74915,35286,49214,21378,52.7,61.8,26.9
400C100US35380,35380,"Greenville, NC Urbanized Area (2010)",27673,12543,16253,6797,56.8,69.3,19.1
400C100US35461,35461,"Greenville, SC Urbanized Area (2010)",99114,42349,71696,27597,46.7,54.2,25.1
400C100US35920,35920,"Gulfport, MS Urbanized Area (2010)",53542,23694,32792,12007,46.6,59.1,22.2
400C100US36190,36190,"Hagerstown, MD--WV--PA Urbanized Area (2010)",44641,20165,29883,11667,54.9,74.6,19.3
400C100US36514,36514,"Hammond, LA Urbanized Area (2010)",15660,6889,10440,3736,45.9,54.2,22.3
400C100US36703,36703,"Hanford, CA Urbanized Area (2010)",21137,11082,14651,6986,51.8,66.7,28.4
400C100US36784,36784,"Hanover, PA Urbanized Area (2010)",17252,7642,13058,5130,57.6,76.8,15.5
400C100US36892,36892,"Harlingen, TX Urbanized Area (2010)",31960,15658,20174,8269,39.8,57.3,23.2
400C100US37081,37081,"Harrisburg, PA Urbanized Area (2010)",114676,48681,83728,31776,54.8,73.4,19.1
400C100US37162,37162,"Harrisonburg, VA Urbanized Area (2010)",13100,5441,9672,3634,60.8,79,23.4
400C100US37243,37243,"Hartford, CT Urbanized Area (2010)",225426,97992,155432,62737,59.7,74.7,17.6
400C100US37594,37594,"Hattiesburg, MS Urbanized Area (2010)",20032,9887,11261,3930,51.8,70.5,17.8
400C100US38215,38215,"Hemet, CA Urbanized Area (2010)",37862,17200,25212,10648,36,54.7,22.4
400C100US38647,38647,"Hickory, NC Urbanized Area (2010)",51861,19573,36370,11569,49,71.9,15.8
400C100US38809,38809,"High Point, NC Urbanized Area (2010)",40958,17359,27945,10571,56.7,68.4,19.2
400C100US39079,39079,"Hilton Head Island, SC Urbanized Area (2010)",19033,6787,15595,4676,40.8,66.8,20.6
400C100US39430,39430,"Holland, MI Urbanized Area (2010)",26834,13643,21437,10147,64.1,74.2,16.2
400C100US39758,39758,"Homosassa Springs--Beverly Hills--Citrus Springs, FL Urbanized Area (2010)",21363,5515,16488,3870,26.4,56.8,16.3
400C100US40375,40375,"Houma, LA Urbanized Area (2010)",35632,16325,22269,8490,42.9,63.5,27.3
400C100US40429,40429,"Houston, TX Urbanized Area (2010)",1267292,638700,892392,439201,51.6,57.6,32.5
400C100US40753,40753,"Huntington, WV--KY--OH Urbanized Area (2010)",50878,19960,34896,11077,48.7,71.7,17.3
400C100US40780,40780,"Huntsville, AL Urbanized Area (2010)",77928,34152,58622,24275,50.5,59.8,28.1
400C100US40996,40996,"Idaho Falls, ID Urbanized Area (2010)",21644,10976,17706,8374,48.2,51.3,29.7
400C100US41212,41212,"Indianapolis, IN Urbanized Area (2010)",369924,175702,259652,113571,58.8,70,21
400C100US41347,41347,"Indio--Cathedral City, CA Urbanized Area (2010)",83979,32099,61793,19629,39.1,61.2,22.3
400C100US41590,41590,"Iowa City, IA Urbanized Area (2010)",24500,11976,18314,8801,61.2,73.2,16.6
400C100US42157,42157,"Jackson, MI Urbanized Area (2010)",19764,9843,12181,4567,54.3,76.7,18.6
400C100US42211,42211,"Jackson, MS Urbanized Area (2010)",87941,41902,53894,23256,58.2,76,18.9
400C100US42265,42265,"Jackson, TN Urbanized Area (2010)",18926,8802,12634,5026,53.7,61.6,25.7
400C100US42346,42346,"Jacksonville, FL Urbanized Area (2010)",268115,114934,184360,69517,51.6,62.9,23.3
400C100US42400,42400,"Jacksonville, NC Urbanized Area (2010)",22845,11989,17038,8635,48,44.4,39.2
400C100US42562,42562,"Janesville, WI Urbanized Area (2010)",17710,8444,12734,4790,54,80.8,20.3
400C100US43210,43210,"Johnson City, TN Urbanized Area (2010)",31649,11514,21750,6600,47,74.1,21.4
400C100US43291,43291,"Johnstown, PA Urbanized Area (2010)",17777,6634,12093,3243,47.7,70.4,19.6
400C100US43345,43345,"Jonesboro, AR Urbanized Area (2010)",15940,7393,9298,3137,36.7,60.8,29.2
400C100US43399,43399,"Joplin, MO Urbanized Area (2010)",18551,8384,12402,4594,56.1,83.9,15.5
400C100US43669,43669,"Kailua (Honolulu County)--Kaneohe, HI Urbanized Area (2010)",25938,9147,19242,6759,50.2,60.3,25.1
400C100US43723,43723,"Kalamazoo, MI Urbanized Area (2010)",49805,23486,34437,13757,53.1,72.1,21
400C100US43885,43885,"Kankakee, IL Urbanized Area (2010)",18499,8888,12837,5570,54.9,66.1,21
400C100US43912,43912,"Kansas City, MO--KS Urbanized Area (2010)",380513,177311,274727,116920,55.7,69.6,21.2
400C100US44479,44479,"Kennewick--Pasco, WA Urbanized Area (2010)",56008,26603,41033,18180,54.4,64.6,23.5
400C100US44506,44506,"Kenosha, WI--IL Urbanized Area (2010)",28822,14001,19660,8512,54.6,72.7,19.3
400C100US44992,44992,"Killeen, TX Urbanized Area (2010)",55162,29602,40073,19258,53.6,51.7,27.9
400C100US45235,45235,"Kingsport, TN--VA Urbanized Area (2010)",28654,11795,21510,8005,45.5,63.6,21.4
400C100US45451,45451,"Kissimmee, FL Urbanized Area (2010)",77294,37911,55079,26944,48.9,57.5,26.9
400C100US45640,45640,"Knoxville, TN Urbanized Area (2010)",141575,57281,105827,39354,46.8,64.9,25.2
400C100US45910,45910,"La Crosse, WI--MN Urbanized Area (2010)",23298,10703,17881,7363,57.3,73.4,14.2
400C100US45937,45937,"Lady Lake--The Villages, FL Urbanized Area (2010)",37498,3636,34068,1707,9.9,48.7,13.4
400C100US46018,46018,"Lafayette, IN Urbanized Area (2010)",30027,14501,21982,9017,54.6,70.7,23.2
400C100US46045,46045,"Lafayette, LA Urbanized Area (2010)",59921,27131,40331,16334,51.9,67.3,27.2
400C100US46126,46126,"Lafayette--Louisville--Erie, CO Urbanized Area (2010)",24152,12438,20626,10187,64.7,72,19
400C100US46531,46531,"Lake Charles, LA Urbanized Area (2010)",35804,14977,23381,8812,49.2,65.3,22.3
400C100US46801,46801,"Lake Jackson--Angleton, TX Urbanized Area (2010)",21143,10803,14865,6708,46.3,56.1,35.7
400C100US46828,46828,"Lakeland, FL Urbanized Area (2010)",64937,24113,47092,15485,46.4,59.4,21.2
400C100US47530,47530,"Lancaster, PA Urbanized Area (2010)",104875,43456,82324,29813,55,70.5,21
400C100US47611,47611,"Lancaster--Palmdale, CA Urbanized Area (2010)",77481,39147,51267,24141,43.4,49.6,31.3
400C100US47719,47719,"Lansing, MI Urbanized Area (2010)",68463,30190,47855,17960,53.3,69.6,18.8
400C100US47854,47854,"Laredo, TX Urbanized Area (2010)",54854,30687,34422,19262,47.6,49.8,32
400C100US47935,47935,"Las Cruces, NM Urbanized Area (2010)",31342,13654,21451,8131,39.9,59.5,21.4
400C100US47995,47995,"Las Vegas--Henderson, NV Urbanized Area (2010)",443773,199102,296909,122317,48.1,60.7,24.1
400C100US48232,48232,"Lawrence, KS Urbanized Area (2010)",17239,6044,12459,4288,56.3,57.6,21.5
400C100US48394,48394,"Lawton, OK Urbanized Area (2010)",19723,9704,13141,5145,45.4,50.2,28.5
400C100US48664,48664,"Lebanon, PA Urbanized Area (2010)",19645,7556,13332,4316,54.1,80.1,12.8
400C100US48799,48799,"Leesburg--Eustis--Tavares, FL Urbanized Area (2010)",35083,8021,27553,4128,27,50.6,15.6
400C100US48826,48826,"Lee's Summit, MO Urbanized Area (2010)",24468,11453,20140,8894,55.5,63.3,23.6
400C100US49096,49096,"Leominster--Fitchburg, MA Urbanized Area (2010)",29492,13175,19923,7701,57.2,78.1,14.9
400C100US49582,49582,"Lexington-Fayette, KY Urbanized Area (2010)",68846,32556,47339,20806,57,70.9,22.5
400C100US49852,49852,"Lima, OH Urbanized Area (2010)",17433,6995,11691,3712,52.6,76.8,17.9
400C100US49933,49933,"Lincoln, NE Urbanized Area (2010)",63906,31168,47139,20020,61.6,73.3,17.8
400C100US50392,50392,"Little Rock, AR Urbanized Area (2010)",107491,47959,73201,28141,53.7,69.5,22.4
400C100US50527,50527,"Livermore, CA Urbanized Area (2010)",22552,9664,16800,6828,56.3,73.9,22.5
400C100US50851,50851,"Lodi, CA Urbanized Area (2010)",16368,8726,11520,5792,45.9,58.8,26.9
400C100US50959,50959,"Logan, UT Urbanized Area (2010)",22405,11459,19161,9656,49,51.3,31.9
400C100US51175,51175,"Longmont, CO Urbanized Area (2010)",23414,11905,16529,7169,55,60.6,23.6
400C100US51256,51256,"Longview, TX Urbanized Area (2010)",24819,11418,15876,6492,53.2,70.5,26.2
400C100US51283,51283,"Longview, WA--OR Urbanized Area (2010)",14558,6304,9073,3019,42.8,68.8,19.7
400C100US51364,51364,"Lorain--Elyria, OH Urbanized Area (2010)",43621,17014,29023,9398,48.2,68.8,19.7
400C100US51445,51445,"Los Angeles--Long Beach--Anaheim, CA Urbanized Area (2010)",2722697,1214009,1825510,814693,51,59.5,27.2
400C100US51755,51755,"Louisville/Jefferson County, KY--IN Urbanized Area (2010)",241466,102860,167716,63267,55.6,72.9,20.2
400C100US51877,51877,"Lubbock, TX Urbanized Area (2010)",59130,26508,39870,16635,55.2,70.2,25.1
400C100US52201,52201,"Lynchburg, VA Urbanized Area (2010)",25995,10099,18536,6315,51.9,71.1,19
400C100US52390,52390,"McAllen, TX Urbanized Area (2010)",175599,92837,115983,59457,41.6,49.1,34
400C100US52687,52687,"McKinney, TX Urbanized Area (2010)",53679,33029,43032,25207,62.5,65.8,25.1
400C100US52822,52822,"Macon, GA Urbanized Area (2010)",29834,13565,15172,5747,54.6,75.9,14.2
400C100US52984,52984,"Madera, CA Urbanized Area (2010)",16163,9224,10115,5390,37.9,50.6,33.6
400C100US53200,53200,"Madison, WI Urbanized Area (2010)",99192,46378,75273,31591,62.6,76.4,16.8
400C100US53740,53740,"Manchester, NH Urbanized Area (2010)",37405,17270,27706,11463,59.5,73.6,22.6
400C100US53794,53794,"Mandeville--Covington, LA Urbanized Area (2010)",24155,11231,19282,8846,48.7,64.6,28.4
400C100US54091,54091,"Mansfield, OH Urbanized Area (2010)",18204,7249,12672,4097,47.5,69.7,20.8
400C100US54145,54145,"Manteca, CA Urbanized Area (2010)",23305,10989,17451,7707,48.9,61.7,26
400C100US55333,55333,"Marysville, WA Urbanized Area (2010)",39927,19366,30256,13414,56.4,70.1,24.2
400C100US55603,55603,"Mauldin--Simpsonville, SC Urbanized Area (2010)",33966,17331,26983,13246,55.5,62.4,24.8
400C100US55981,55981,"Medford, OR Urbanized Area (2010)",39041,18444,26738,10208,50.1,68.6,18.5
400C100US56116,56116,"Memphis, TN--MS--AR Urbanized Area (2010)",252213,113509,148196,60882,54.2,66.5,23.7
400C100US56251,56251,"Merced, CA Urbanized Area (2010)",33431,17610,19803,10231,51.6,56.5,26.1
400C100US56602,56602,"Miami, FL Urbanized Area (2010)",1311621,543359,873891,337652,51,66,22.7
400C100US56656,56656,"Michigan City--La Porte, IN--MI Urbanized Area (2010)",15670,5807,10774,3257,48.3,60.4,22.4
400C100US56926,56926,"Middletown, OH Urbanized Area (2010)",24908,10386,15992,6178,47.3,69.8,22.6
400C100US57007,57007,"Midland, TX Urbanized Area (2010)",30123,14598,21560,9644,55.3,60.8,32.8
400C100US57466,57466,"Milwaukee, WI Urbanized Area (2010)",341124,158686,232532,91860,57.1,73.1,19.1
400C100US57628,57628,"Minneapolis--St. Paul, MN--WI Urbanized Area (2010)",660442,310596,502264,220147,63,75.7,16.6
400C100US57709,57709,"Mission Viejo--Lake Forest--San Clemente, CA Urbanized Area (2010)",154410,64637,126652,52616,53.8,63.7,26.2
